seed,n,cyclomatic,cycle_load,C_norm_fdm,C_norm_fdm_loopy,penalty_factor,mode
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,12,3,0.25,0.14310973353078088,0.30768592709117887,2.15,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
K,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,15,3,0.2,0.11970517708437314,0.2513808718771836,2.1,CY1B
K,13,3,0.23076923076923078,0.1358413753484296,0.2894466228578077,2.1307692307692307,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,8,3,0.375,0.21269443985146647,0.4838798506620862,2.275,CY1B
K,5,3,0.6,0.2582639938968138,0.6456599847420346,2.5,CY1B
K,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
